"Internal ID","Name","Address","Country","State or Province","County","City","Specific Place","Modern Location","Visited","Mentioned Only","Latitude","Longitude","Website URL","Total Usage Count","Confirmed"
"30970","Rockland, Cassia County, Idaho","","","Idaho","Cassia County","Rockland","","Rockland, Power County, Idaho","","","42.5732468","-112.8772126","https://wilfordwoodruffpapers.org/subjects/rockland-cassia-county-idaho","1","2023-01-19"
"30988","Springdale, Washington County, Utah Territory","","","Utah Territory","Washington County","Springdale","","Springdale, Washington County, Utah","","","37.1888713","-112.9985515","https://wilfordwoodruffpapers.org/subjects/springdale-washington-county-utah-territory","1","2022-12-16"
"30990","Sumner County, Tennessee","","","Tennessee","Sumner County","","","Sumner County, Tennessee","","","36.4718084","-86.4996546","https://wilfordwoodruffpapers.org/subjects/sumner-county-tennessee","1","2021-12-24"
"30991","Susquehanna River, United States","","United States","","","","Susquehanna River","Susquehanna River, United States","","","41.12300922","-75.96527542","https://wilfordwoodruffpapers.org/subjects/susquehanna-river-united-states","3","2022-11-15"
"31005","Vermillion, Sevier County, Utah Territory","","","Utah Territory","Sevier County","Vermillion","","Vermillion, Sevier County, Utah","TRUE","","38.7333524","-111.6660725","https://wilfordwoodruffpapers.org/subjects/vermillion-sevier-county-utah-territory","3","2023-08-22"
"31008","Wartenberg, Bavaria, Germany","","Germany","","Bavaria","Wartenberg","","","","","48.404287","11.9875697","https://wilfordwoodruffpapers.org/subjects/wartenberg-bavaria-germany","1",""
"31009","Wilford, Bingham County, Idaho","","","Idaho","Bingham County","","","","","","44.0682019","-114.7420408","https://wilfordwoodruffpapers.org/subjects/wilford-bingham-county-idaho","2","2022-11-15"
"31034","Wilson, Weber County, Utah Territory","","","Utah Territory","Weber County","Wilson","","West Haven, Weber County, Utah","","","41.2291113","-112.0252196","https://wilfordwoodruffpapers.org/subjects/wilson-weber-county-utah-territory","4","2022-11-25"
"31035","Winfield, Cowley County, Kansas","","","Kansas","Cowley County","Winfield","","","","","37.2397486","-96.9955918","https://wilfordwoodruffpapers.org/subjects/winfield-cowley-county-kansas","1",""
"31036","Yokohama, Japan","","Japan","","","Yokohama","","","","","35.4436739","139.6379639","https://wilfordwoodruffpapers.org/subjects/yokohama-japan","2",""
